S.No,Product_Code,Cust_ID,IPC_Code,gram/product,Product_Type,Spring_Type,Material_Code,Material_Type,Material_Name,Grade,Finishing,Wire_dia,Coiling/Forming,Stress_Relieving,Coating,Grinding,Plating,Blackening
71,AMPS INDUSTRY-COMPRESSION SPRING-0.4X4X8X10.5-0.40mm,C_012,COMPRESSION SPRING-0.4X4X8X10.5-0.40mm,,Spring,COMPRESSION SPRING,Coil-SS Stainless Steel-304-Bright-0.40mm,Coil,SS Stainless Steel,304,Bright,0.40mm,Coiling,Stress_Relieving,,,,
72,AVALON TECHNOLOGY-TORSION SPRING-1.00mm-1.00mm,C_013,TORSION SPRING-1.00mm-1.00mm,,Spring,TORSION SPRING,Coil-SS Stainless Steel-304-Soap Coated-1.00mm,Coil,SS Stainless Steel,304,Soap Coated,1.00mm,Forming,Stress_Relieving,,,,
73,MANDO-TENSION SPRING-GM743100D3-2.20mm,C_014,TENSION SPRING-GM743100D3-2.20mm,,Spring,TENSION SPRING,Coil-ST Spring Steel-DH-2.20mm,Coil,ST Spring Steel,DH,,2.20mm,Coiling,Stress_Relieving,,,,
74,FEAM TECH-TENSION SPRING-1.60mm-1.60mm,C_015,TENSION SPRING-1.60mm-1.60mm,,Spring,TENSION SPRING,Coil-ST Spring Steel-DH-1.60mm,Coil,ST Spring Steel,DH,,1.60mm,Coiling,Stress_Relieving,,,,
75,APPASWAMY-WIRE SPRING-1.00mm-1.00mm,C_016,WIRE SPRING-1.00mm-1.00mm,,Spring,WIRE FORM SPRING,Coil-SS Stainless Steel-304-Soap Coated-1.00mm,Coil,SS Stainless Steel,304,Soap Coated,1.00mm,Forming,Stress_Relieving,,,,
76,I.MATICS-BLISTER SPRING-SS 0.90mm-0.90mm,C_017,BLISTER SPRING-SS 0.90mm-0.90mm,,Spring,WIRE FORM SPRING,Coil-SS Stainless Steel-304-Soap Coated-0.90mm,Coil,SS Stainless Steel,304,Soap Coated,0.90mm,Forming,Stress_Relieving,,,,
77,AVASARALA-VE10141-1.60mm,C_018,VE10141-1.60mm,,Spring,COMPRESSION SPRING,Coil-ST Spring Steel-DH-1.60mm,Coil,ST Spring Steel,DH,,1.60mm,Coiling,Stress_Relieving,,,,
78,DELFINGEN-F.L * Wire Dia * Outer Dia-1200*1.5*15-1.50mm,C_019,F.L * Wire Dia * Outer Dia-1200*1.5*15-1.50mm,,Spring,COMPRESSION SPRING,Coil-SS Stainless Steel-304-Soap Coated-1.50mm,Coil,SS Stainless Steel,304,Soap Coated,1.50mm,Coiling,Stress_Relieving,,Grinding,,
79,DELFINGEN-F.L * Wire Dia * Outer Dia-740*0.70*2.85-0.70mm,C_019,F.L * Wire Dia * Outer Dia-740*0.70*2.85-0.70mm,,Spring,COMPRESSION SPRING,Coil-SS Stainless Steel-304-Soap Coated-0.70mm,Coil,SS Stainless Steel,304,Soap Coated,0.70mm,Coiling,Stress_Relieving,,Grinding,,
80,DELFINGEN-F.L * Wire Dia * Outer Dia-760*0.70*2.80-0.70mm,C_019,F.L * Wire Dia * Outer Dia-760*0.70*2.80-0.70mm,,Spring,COMPRESSION SPRING,Coil-SS Stainless Steel-304-Soap Coated-0.70mm,Coil,SS Stainless Steel,304,Soap Coated,0.70mm,Coiling,Stress_Relieving,,Grinding,,
81,DELFINGEN-F.L * Wire Dia * Outer Dia-765*0.70*2.85-0.70mm,C_019,F.L * Wire Dia * Outer Dia-765*0.70*2.85-0.70mm,,Spring,COMPRESSION SPRING,Coil-SS Stainless Steel-304-Soap Coated-0.70mm,Coil,SS Stainless Steel,304,Soap Coated,0.70mm,Coiling,Stress_Relieving,,Grinding,,
82,DELFINGEN-F.L * Wire Dia * Outer Dia-950*0.70*2.65-0.70mm,C_019,F.L * Wire Dia * Outer Dia-950*0.70*2.65-0.70mm,,Spring,COMPRESSION SPRING,Coil-SS Stainless Steel-304-Soap Coated-0.70mm,Coil,SS Stainless Steel,304,Soap Coated,0.70mm,Coiling,Stress_Relieving,,Grinding,,
83,DELFINGEN-F.L * Wire Dia * Outer Dia-1500*2*16-2.00mm,C_019,F.L * Wire Dia * Outer Dia-1500*2*16-2.00mm,,Spring,COMPRESSION SPRING,Coil-SS Stainless Steel-304-Soap Coated-2.00mm,Coil,SS Stainless Steel,304,Soap Coated,2.00mm,Coiling,Stress_Relieving,,Grinding,,
84,DELFINGEN-F.L * Wire Dia * Outer Dia-600*0.8*5.5-0.80mm,C_019,F.L * Wire Dia * Outer Dia-600*0.8*5.5-0.80mm,,Spring,COMPRESSION SPRING,Coil-SS Stainless Steel-304-Soap Coated-0.80mm,Coil,SS Stainless Steel,304,Soap Coated,0.80mm,Coiling,Stress_Relieving,,Grinding,,
85,DELFINGEN-F.L * Wire Dia * Outer Dia-475*0.8*5.5-0.80mm,C_019,F.L * Wire Dia * Outer Dia-475*0.8*5.5-0.80mm,,Spring,COMPRESSION SPRING,Coil-SS Stainless Steel-304-Soap Coated-0.80mm,Coil,SS Stainless Steel,304,Soap Coated,0.80mm,Coiling,Stress_Relieving,,Grinding,,
86,MEDIHUB-CDS SPRING-CDS SPRING 904-0.60mm,C_020,CDS SPRING-CDS SPRING 904-0.60mm,,Spring,COMPRESSION SPRING,Coil-SS Stainless Steel-304-Soap Coated-0.60mm,Coil,SS Stainless Steel,304,Soap Coated,0.60mm,Coiling,Stress_Relieving,,,,
87,MANDO-SPRING ASS'Y-GL95156200-1.50mm,C_014,SPRING ASS'Y-GL95156200-1.50mm,7.120,Spring,TENSION SPRING,Coil-ST Spring Steel-DH-1.50mm,Coil,ST Spring Steel,DH,,1.50mm,Coiling,Stress_Relieving,,,,
88,SUPRAJIT-Spring-COM-SPR-00465-1.20mm,C_022,Spring-COM-SPR-00465-1.20mm,,Spring,COMPRESSION SPRING,Coil-SS Stainless Steel-304-Soap Coated-1.20mm,Coil,SS Stainless Steel,304,Soap Coated,1.20mm,Coiling,Stress_Relieving,,,,
89,CARRLANE-CLM-407-BUD-Type-1-0.90mm,C_021,CLM-407-BUD-Type-1-0.90mm,,Spring,COMPRESSION SPRING,Coil-ST Spring Steel-DH-0.90mm,Coil,ST Spring Steel,DH,,0.90mm,Coiling,Stress_Relieving,,Grinding,,
90,CARRLANE-CLM-408-BUD-Type-2-0.90mm,C_021,CLM-408-BUD-Type-2-0.90mm,,Spring,COMPRESSION SPRING,Coil-ST Spring Steel-DH-0.90mm,Coil,ST Spring Steel,DH,,0.90mm,Coiling,Stress_Relieving,,Grinding,,
91,Royal Referigeration-COMPRESSION SPRING-2.60mm* 104 mm-2.60mm,C_025,COMPRESSION SPRING-2.60mm* 104 mm-2.60mm,,Spring,COMPRESSION SPRING,Coil-ST Spring Steel-DH-2.60mm,Coil,ST Spring Steel,DH,,2.60mm,Coiling,Stress_Relieving,,,Zinc_White,
92,Royal Referigeration-COMPRESSION SPRING-2.60mm* 112 mm-2.60mm,C_025,COMPRESSION SPRING-2.60mm* 112 mm-2.60mm,,Spring,COMPRESSION SPRING,Coil-ST Spring Steel-DH-2.60mm,Coil,ST Spring Steel,DH,,2.60mm,Coiling,Stress_Relieving,,,Zinc_Yellow,
93,KBI-SPRING ASS'Y(TILT SPRING)-GL951X4010-1.20mm,C_001,SPRING ASS'Y(TILT SPRING)-GL951X4010-1.20mm,,Spring,TENSION SPRING,Coil-ST Spring Steel-DH-1.20mm,Coil,ST Spring Steel,DH,,1.20mm,Coiling,Stress_Relieving,,,,
94,ATIRUM-PEDI CLIP PIN-SSF-056-2.00mm,C_006,PEDI CLIP PIN-SSF-056-2.00mm,,Spring,LENGTH PIN,Coil-ST Spring Steel-DM-2.00mm,Coil,ST Spring Steel,DM,,2.00mm,Forming,,,,,
95,ATIRUM-PEDI CLIP SPRING-SSF-055-0.70mm,C_006,PEDI CLIP SPRING-SSF-055-0.70mm,,Spring,TORSION SPRING,Coil-ST Spring Steel-DM-0.70mm,Coil,ST Spring Steel,DM,,0.70mm,Coiling,Stress_Relieving,,,,
96,Royal Referigeration-Washing Rod-5mm*625mm-5.00mm,C_025,Washing Rod-5mm*625mm-5.00mm,,Spring,LENGTH ROD,Coil-MS Mild Steel-5.00mm,Coil,MS Mild Steel,,,5.00mm,Forming,,,,Zinc_Blue,
97,Royal Referigeration-Washing Rod-5mm*595mm-5.00mm,C_025,Washing Rod-5mm*595mm-5.00mm,,Spring,LENGTH ROD,Coil-MS Mild Steel-5.00mm,Coil,MS Mild Steel,,,5.00mm,Forming,,,,Zinc_Blue,
98,Royal Referigeration-Washing Rod-5mm*605mm-5.00mm,C_025,Washing Rod-5mm*605mm-5.00mm,,Spring,LENGTH ROD,Coil-MS Mild Steel-5.00mm,Coil,MS Mild Steel,,,5.00mm,Forming,,,,Zinc_Blue,
99,Royal Referigeration-Washing Rod-5mm*585mm-5.00mm,C_025,Washing Rod-5mm*585mm-5.00mm,,Spring,LENGTH ROD,Coil-MS Mild Steel-5.00mm,Coil,MS Mild Steel,,,5.00mm,Forming,,,,Zinc_Blue,
100,Royal Referigeration-Washing Rod-5mm*560mm-5.00mm,C_025,Washing Rod-5mm*560mm-5.00mm,,Spring,LENGTH ROD,Coil-MS Mild Steel-5.00mm,Coil,MS Mild Steel,,,5.00mm,Forming,,,,Zinc_Blue,
101,Royal Referigeration-Washing Rod-5mm*650mm-5.00mm,C_025,Washing Rod-5mm*650mm-5.00mm,,Spring,LENGTH ROD,Coil-MS Mild Steel-5.00mm,Coil,MS Mild Steel,,,5.00mm,Forming,,,,Zinc_Blue,
102,Summits Hygronics-COMPRESSION SPRING-3.5 mm * 36 mm-3.50mm,C_026,COMPRESSION SPRING-3.5 mm * 36 mm-3.50mm,,Spring,COMPRESSION SPRING,Coil-SS Stainless Steel-304-Soap Coated-3.50mm,Coil,SS Stainless Steel,304,Soap Coated,3.50mm,Coiling,Stress_Relieving,,Grinding,,
103,Summits Hygronics-COMPRESSION SPRING-5mm * 49 mm-5.00mm,C_026,COMPRESSION SPRING-5mm * 49 mm-5.00mm,,Spring,COMPRESSION SPRING,Coil-SS Stainless Steel-304-Soap Coated-5.00mm,Coil,SS Stainless Steel,304,Soap Coated,5.00mm,Coiling,Stress_Relieving,,Grinding,,
104,Summits Hygronics-COMPRESSION SPRING-8 mm * 75 mm-8.00mm,C_026,COMPRESSION SPRING-8 mm * 75 mm-8.00mm,,Spring,COMPRESSION SPRING,Coil-SS Stainless Steel-304-Soap Coated-8.00mm,Coil,SS Stainless Steel,304,Soap Coated,8.00mm,Coiling,Stress_Relieving,,Grinding,,
105,WOORY-KY-TEMP-RHD(0.50mm)(Old)-(17± 0.2 mm)-201502655510-0.50mm,C_002,KY-TEMP-RHD(0.50mm)(Old)-(17± 0.2 mm)-201502655510-0.50mm,,Spring,COMPRESSION SPRING,Coil-SS Stainless Steel-304-Bright-0.50mm,Coil,SS Stainless Steel,304,Bright,0.50mm,Coiling,Stress_Relieving,,,,
106,KBI-CONICAL SPRING-GZ441W6100A-2.50mm,C_001,CONICAL SPRING-GZ441W6100A-2.50mm,,Spring,TENSION SPRING,Coil-ST Spring Steel-DH-2.50mm,Coil,ST Spring Steel,DH,,2.50mm,Coiling,Stress_Relieving,,,,
107,KBI-SPRING-GE940-160-00A3-2.20mm,C_001,SPRING-GE940-160-00A3-2.20mm,,Spring,TENSION SPRING,Coil-ST Spring Steel-DH-2.20mm,Coil,ST Spring Steel,DH,,2.20mm,Coiling,Stress_Relieving,,,,
108,NHK SPRING-CLIP LOCK-F541C014-1.40mm,C_027,CLIP LOCK-F541C014-1.40mm,,Spring,WIRE FORM SPRING,Coil-ST Spring Steel-DH-1.40mm,Coil,ST Spring Steel,DH,,1.40mm,Forming,Stress_Relieving,,,,
109,SUPRAJIT-Split Pin-COM-PIN-00149-0.90mm,C_022,Split Pin-COM-PIN-00149-0.90mm,,Spring,COTTER PIN,Coil-MS Mild Steel Half Round-0.90mm,Coil,MS Mild Steel Half Round,,,0.90mm,Forming,,,,Zinc_Nickel,
110,K.R.TRANS ENERGY-PRV SPRING-KRTE-LMV-P-A024-3.00mm,C_028,PRV SPRING-KRTE-LMV-P-A024-3.00mm,,Spring,COMPRESSION SPRING,Coil-ST Spring Steel-DH-3.00mm,Coil,ST Spring Steel,DH,,3.00mm,Coiling,Stress_Relieving,,Grinding,Zinc_Blue,
111,KUMARAN ENGG-SPRING-F3651710-2.00mm,C_029,SPRING-F3651710-2.00mm,,Spring,COMPRESSION SPRING,Coil-ST Spring Steel-DM-2.00mm,Coil,ST Spring Steel,DM,,2.00mm,Coiling,Stress_Relieving,,Grinding,,
112,AVASARALA-SPRING-A3057112-0.30mm,C_018,SPRING-A3057112-0.30mm,,Spring,COMPRESSION SPRING,Coil-PB Phosphor Bronze-0.30mm,Coil,PB Phosphor Bronze,,,0.30mm,Coiling,Stress_Relieving,,,,
113,AVASARALA-SPRING-EX2003-0.50mm,C_018,SPRING-EX2003-0.50mm,,Spring,COMPRESSION SPRING,Coil-SS Stainless Steel-304-Bright-0.50mm,Coil,SS Stainless Steel,304,Bright,0.50mm,Coiling,Stress_Relieving,,,,
114,AVASARALA-SPRING-EV60812-1.80mm,C_018,SPRING-EV60812-1.80mm,,Spring,COMPRESSION SPRING,Coil-SS Stainless Steel-304-Soap Coated-1.80mm,Coil,SS Stainless Steel,304,Soap Coated,1.80mm,Coiling,Stress_Relieving,,,,
115,KUMARAN ENGG-SPRING-F3651510-1.00mm,C_029,SPRING-F3651510-1.00mm,,Spring,COMPRESSION SPRING,Coil-ST Spring Steel-DH-1.00mm,Coil,ST Spring Steel,DH,,1.00mm,Coiling,Stress_Relieving,,Grinding,,
116,KUMARAN ENGG-SPRING-F3651610-1.40mm,C_029,SPRING-F3651610-1.40mm,,Spring,COMPRESSION SPRING,Coil-ST Spring Steel-DM-1.40mm,Coil,ST Spring Steel,DM,,1.40mm,Coiling,Stress_Relieving,,Grinding,,
117,KUMARAN ENGG-SPRING-F4X00710-1.60mm,C_029,SPRING-F4X00710-1.60mm,,Spring,COMPRESSION SPRING,Coil-ST Spring Steel-DH-1.60mm,Coil,ST Spring Steel,DH,,1.60mm,Coiling,Stress_Relieving,,Grinding,,
118,KBI-SPRING ASS'Y(SW)-G951-A18-00-1.80mm,C_001,SPRING ASS'Y(SW)-G951-A18-00-1.80mm,,Spring,CLIP,Coil-ST Spring Steel-DH-1.80mm,Coil,ST Spring Steel,DH,,1.80mm,Coiling,Stress_Relieving,,,,
119,KBI-Wire Spring(SW)-GZ471-A17-00-4.00mm,C_001,Wire Spring(SW)-GZ471-A17-00-4.00mm,,Spring,WIRE FORM SPRING,Coil-ST Spring Steel-DH-4.00mm,Coil,ST Spring Steel,DH,,4.00mm,Forming,Stress_Relieving,Nylon_Coating,,,
120,vTitan-Heating Plate Spring-210-1080-01-0.55mm,C_031,Heating Plate Spring-210-1080-01-0.55mm,,Spring,COMPRESSION SPRING,Coil-SS Stainless Steel-304-Soap Coated-0.55mm,Coil,SS Stainless Steel,304,Soap Coated,0.55mm,Coiling,Stress_Relieving,,,Nickel,
121,vTitan-Humidifire Spring-210-1081-01-0.60mm,C_031,Humidifire Spring-210-1081-01-0.60mm,,Spring,COMPRESSION SPRING,Coil-SS Stainless Steel-304-Soap Coated-0.60mm,Coil,SS Stainless Steel,304,Soap Coated,0.60mm,Coiling,Stress_Relieving,,,Nickel,
122,WOORY-KY PE Blower-201502549 521-0.30mm,C_002,KY PE Blower-201502549 521-0.30mm,,Spring,COMPRESSION SPRING,Coil-SS Stainless Steel-304-Soap Coated-0.30mm,Coil,SS Stainless Steel,304,Soap Coated,0.30mm,Coiling,Stress_Relieving,,,,
123,AVASARALA-Gas Actuator Spring-A304622-0.60mm,C_018,Gas Actuator Spring-A304622-0.60mm,,Spring,COMPRESSION SPRING,Coil-SS Stainless Steel-304-Soap Coated-0.60mm,Coil,SS Stainless Steel,304,Soap Coated,0.60mm,Coiling,Stress_Relieving,,,,
124,AVASARALA-Spring-EL815-0.80mm,C_018,Spring-EL815-0.80mm,,Spring,COMPRESSION SPRING,Coil-SS Stainless Steel-304-Soap Coated-0.80mm,Coil,SS Stainless Steel,304,Soap Coated,0.80mm,Coiling,Stress_Relieving,,,,
125,PLACKA-MAIN VALVE SPRING-1.00 mm * 27 mm-1.00mm,C_007,MAIN VALVE SPRING-1.00 mm * 27 mm-1.00mm,,Spring,COMPRESSION SPRING,Coil-SS Stainless Steel-304-Soap Coated-1.00mm,Coil,SS Stainless Steel,304,Soap Coated,1.00mm,Coiling,Stress_Relieving,,,,
126,APPASWAMY-wire Instrument-PP-MPTS-007-1.00mm,C_016,wire Instrument-PP-MPTS-007-1.00mm,,Spring,COMPRESSION SPRING,Coil-SS Stainless Steel-304-Soap Coated-1.00mm,Coil,SS Stainless Steel,304,Soap Coated,1.00mm,Forming,Stress_Relieving,,,,
127,APPASWAMY-wire Instrument-PP-MPTS-008-1.00mm,C_016,wire Instrument-PP-MPTS-008-1.00mm,,Spring,COMPRESSION SPRING,Coil-SS Stainless Steel-304-Soap Coated-1.00mm,Coil,SS Stainless Steel,304,Soap Coated,1.00mm,Forming,Stress_Relieving,,,,
128,PRM Automotive-Horn Compression Spring-2 *9.4*21.6 mm-2.00mm,C_032,Horn Compression Spring-2 *9.4*21.6 mm-2.00mm,,Spring,COMPRESSION SPRING,Coil-ST Spring Steel-DM-2.00mm,Coil,ST Spring Steel,DM,,2.00mm,Coiling,Stress_Relieving,,Grinding,Zinc_Yellow,
129,PLACKA-MAIN VALVE SPRING-1.20 mm * 20 mm-1.20mm,C_007,MAIN VALVE SPRING-1.20 mm * 20 mm-1.20mm,,Spring,COMPRESSION SPRING,Coil-SS Stainless Steel-304-Soap Coated-1.20mm,Coil,SS Stainless Steel,304,Soap Coated,1.20mm,Coiling,Stress_Relieving,,,,
130,TI CLEAN MOBILITY-BRAKE ROD SPRING-7BSPCI08003-1.50mm,C_033,BRAKE ROD SPRING-7BSPCI08003-1.50mm,,Spring,COMPRESSION SPRING,Coil-ST Spring Steel-DH-1.50mm,Coil,ST Spring Steel,DH,,1.50mm,Coiling,Stress_Relieving,,Grinding,Zinc_Blue,
131,TI CLEAN MOBILITY-SPRING STEERING LOCK-7BFSST08012-1.00mm,C_033,SPRING STEERING LOCK-7BFSST08012-1.00mm,,Spring,CONICAL SPRING,Coil-ST Spring Steel-DH-1.00mm,Coil,ST Spring Steel,DH,,1.00mm,Coiling,Stress_Relieving,,,Zinc_Blue,
132,TI CLEAN MOBILITY-BRAKE SWITCH SPRING-7BSPCI08005-1.00mm,C_033,BRAKE SWITCH SPRING-7BSPCI08005-1.00mm,,Spring,TENSION SPRING,Coil-ST Spring Steel-DH-1.00mm,Coil,ST Spring Steel,DH,,1.00mm,Coiling,Stress_Relieving,,,Zinc_Blue,
133,TI CLEAN MOBILITY-BRAKE RETRACTION SPRING-7BRBK08054-2.00mm,C_033,BRAKE RETRACTION SPRING-7BRBK08054-2.00mm,,Spring,TENSION SPRING,Coil-ST Spring Steel-DH-2.00mm,Coil,ST Spring Steel,DH,,2.00mm,Coiling,Stress_Relieving,,,Zinc_Blue,
134,Rishaba-Clip Ring-2011300000 018-1.20mm,C_034,Clip Ring-2011300000 018-1.20mm,,Spring,RING,Coil-SS Stainless Steel-304-Soap Coated-1.20mm,Coil,SS Stainless Steel,304,Soap Coated,1.20mm,Coiling,Stress_Relieving,,,Nickel,
135,TI CLEAN MOBILITY-SPRING-7BSPCI08001-2.50mm,C_033,SPRING-7BSPCI08001-2.50mm,,Spring,TORSION SPRING,Coil-ST Spring Steel-DH-2.50mm,Coil,ST Spring Steel,DH,,2.50mm,Coiling,Stress_Relieving,,,Zinc_Blue,
136,TM AUTOMOTIVE-S-Spring-E4RNHFR-10122-3.80mm,C_010,S-Spring-E4RNHFR-10122-3.80mm,,Spring,S-SPRING,Coil-ST Spring Steel-DM-3.80mm,Coil,ST Spring Steel,DM,,3.80mm,Forming,Stress_Relieving,,,,
137,KBI-SPRING ASS'Y(CAM SPRING)-GL951-X40-00-1.80mm,C_001,SPRING ASS'Y(CAM SPRING)-GL951-X40-00-1.80mm,,Spring,CLIP,Coil-ST Spring Steel-DH-1.80mm,Coil,ST Spring Steel,DH,,1.80mm,Coiling,Stress_Relieving,,,,
138,Rishaba-COMPRESSION SPRING-3mm Dia * 27mm Length-0.50mm,C_034,COMPRESSION SPRING-3mm Dia * 27mm Length-0.50mm,,Spring,COMPRESSION SPRING,Coil-SS Stainless Steel-304-Bright-0.50mm,Coil,SS Stainless Steel,304,Bright,0.50mm,Coiling,Stress_Relieving,,,,
139,ACCURATE PRODUCTS-SPRING-CP 330-0.40mm,C_035,SPRING-CP 330-0.40mm,,Spring,CONICAL SPRING,Coil-ST Spring Steel-DH-0.40mm ,Coil,ST Spring Steel,DH,,0.40mm,Coiling,Stress_Relieving,,,,
140,ACCURATE PRODUCTS-SPRING-CP 426-0.45mm,C_035,SPRING-CP 426-0.45mm,,Spring,CONICAL SPRING,Coil-ST Spring Steel-DH-0.45mm ,Coil,ST Spring Steel,DH,,0.45mm,Coiling,Stress_Relieving,,,,
141,TI CLEAN MOBILITY-TENSIONER SPRING-2AKA12C058-1.00mm,C_033,TENSIONER SPRING-2AKA12C058-1.00mm,,Spring,COMPRESSION SPRING,Coil-ST Spring Steel-DH-1.00mm ,Coil,ST Spring Steel,DH,,1.00mm,Coiling,Stress_Relieving,,Grinding,,